Country Name,Country Code,Year,Primary_Enrollment,GDP_per_capita
Japan,JPN,2001,7394582.0,31476.052066579
Japan,JPN,2002,7325866.0,
Japan,JPN,2003,7268928.0,29392.2489916186
Japan,JPN,2004,7257223.0,
Japan,JPN,2005,7231854.0,
Japan,JPN,2006,7229135.0,
Japan,JPN,2007,7220111.0,
Japan,JPN,2008,7166285.0,
Japan,JPN,2009,7156039.0,
Japan,JPN,2010,7098862.0,35335.3735103814
Japan,JPN,2011,7029265.0,
Japan,JPN,2012,6923951.0,
Japan,JPN,2013,6801716.0,24.73159
Japan,JPN,2014,6714539.0,24.36669
Japan,JPN,2015,6638174.0,40898.80697396
Japan,JPN,2016,6581949.0,24.05154
Japan,JPN,2017,6531731.0,
Japan,JPN,2018,6504523.0,42116.4743457281
Japan,JPN,2019,6494115.0,
Japan,JPN,2020,,
